,city,Temperature,Longitude,Latitude,Cloudiness,Wind Speed,Humidity
361,lashkar gah,17.95,64.3716,31.5938,67,1.2,36
362,coquimbo,14.85,-71.3436,-29.9533,0,1.54,82
363,kristiansund,2.36,7.732,63.1115,91,2.06,64
364,sungai besar,29.14,100.9867,3.6746,87,1.42,78
365,sao joao da barra,24.73,-41.0511,-21.6403,98,5.41,83
366,sao geraldo do araguaia,23.99,-48.555,-6.4006,49,1.1,96
367,port alberni,7.03,-124.8028,49.2413,95,2.68,80
368,humaita,25.43,-63.0208,-7.5061,100,0.75,93
369,sitka,8.94,-135.33,57.0531,0,6.17,49
370,horta,16.68,-28.6333,38.5333,100,4.92,93
371,lazaro cardenas,23.94,-102.2,17.9583,88,0.25,84
372,colimes,25.03,-80.0167,-1.55,100,1.41,91
373,saint-paul,23.93,55.2707,-21.0096,100,1.01,88
374,lerwick,5.0,-1.1494,60.1545,100,11.35,84
375,el bayadh,7.89,1.0193,33.6832,2,4.65,82
376,lamu,27.28,40.902,-2.2717,99,6.12,80
377,yanta,23.48,115.6672,36.2411,46,3.38,18
378,pagar alam,28.56,103.2667,-4.0167,29,1.58,65
379,nadym,-5.02,72.5167,65.5333,88,8.48,94
380,pacocha,21.05,-71.3333,-17.5833,77,4.57,84
381,grantsville,7.79,-112.4644,40.5999,100,3.6,80
382,bizerte,16.0,9.8739,37.2744,20,2.57,100
383,christchurch,18.56,172.6333,-43.5333,6,5.14,59
384,choyr,13.9,108.3611,46.3611,100,5.53,20
385,chelghoum el aid,10.56,6.1665,36.1629,67,2.12,93
386,morant bay,27.79,-76.4093,17.8815,9,4.5,86
387,merizo village,29.77,144.6691,13.2658,88,5.21,80
388,vadso,-1.91,29.7487,70.0744,75,9.26,80
389,arenapolis,25.11,-56.8461,-14.4503,100,1.72,87
390,george town,29.75,100.3354,5.4112,20,2.06,79
391,maua,21.9,-46.4614,-23.6678,100,1.66,90
392,puquio,9.55,-74.1333,-14.7,0,1.72,57
393,qaqortoq,0.3,-46.0333,60.7167,100,2.47,99
394,nyandoma,0.07,40.1991,61.669,38,1.55,96
395,faya-largeau,26.5,19.1043,17.9257,75,5.57,12
396,igurubi,17.94,33.7,-4.0,65,2.18,94
397,jutai,24.09,-68.9,-5.1833,96,0.56,98
398,sihanoukville,32.97,103.5296,10.6093,40,3.6,62
399,kailua-kona,23.5,-155.9956,19.6406,100,7.72,87
400,iskateley,-7.77,53.1512,67.6803,100,7.15,95
401,sikonge,17.26,32.7667,-5.6333,98,1.76,96
402,debre mark'os,15.31,37.7333,10.35,99,1.48,45
403,riacho de santana,23.94,-42.9389,-13.6092,100,5.28,73
404,tabou,28.06,-7.3528,4.423,100,2.99,83
405,lardero,7.4,-2.4615,42.4269,75,2.06,76
406,davyd-haradok,4.46,27.2161,52.0566,99,1.76,95
407,tofol,30.88,163.0078,5.3248,75,4.63,70
408,labrador city,-1.01,-66.9114,52.9463,75,2.68,74
409,sabang,28.76,95.3214,5.8933,91,3.18,77
410,khorugh,6.16,71.553,37.4897,99,1.44,83
411,china,25.07,-99.2333,25.7,100,12.7,77
412,varna,18.08,27.9167,43.2167,18,2.06,52
413,bintulu,31.23,113.0333,3.1667,40,1.54,74
414,north bondi,22.83,151.2769,-33.8824,40,5.14,71
415,taroa,27.75,171.2275,8.7058,14,6.27,79
416,taulaga,27.2,-171.0883,-11.0553,100,1.89,81
417,mugia,13.28,-9.2179,43.1041,66,7.96,77
418,kavieng,29.7,150.7967,-2.5744,16,2.21,72
419,tomatlan,21.89,-105.25,19.9333,100,0.75,73
420,betio village,30.02,172.9211,1.358,5,2.66,66
421,chita,8.94,113.55,52.0333,29,1.0,46
422,qacha's nek,7.59,28.6894,-30.1154,74,0.93,84
423,seoni,32.82,79.5333,22.0833,8,1.51,30
424,hadibu,26.65,54.0333,12.65,93,3.34,79
425,muisne,25.12,-80.0333,0.6,89,1.46,90
426,kyosai,19.98,128.5886,34.8503,42,5.36,82
427,hays,21.57,-98.0336,30.0502,100,4.02,87
428,arica,19.13,-70.3042,-18.475,0,0.0,77
429,callao,21.16,-77.15,-12.0667,0,7.2,78
430,gouyave,27.43,-61.7296,12.1646,20,5.66,78
431,norfolk,11.61,-71.2495,42.1668,100,2.06,70
432,encarnacion,22.01,-55.9,-27.3333,100,2.32,99
433,kiunga,34.11,141.2906,-6.1219,97,0.34,51
434,bangui,24.1,18.555,4.3612,95,1.54,78
435,hell-ville,24.93,48.2667,-13.4,40,0.0,77
436,kelibia,18.14,11.0939,36.8476,20,1.54,88
